cell_id,x_m,y_m,z_m,span_x_m,span_y_m,span_z_m
4461234,-0.1526774555,0.01290383935,0.166016385,0.001025825739,0.001387846656,0.0001124739647
4461244,-0.1590592295,0.005405239575,0.1720293522,0.001327797771,0.001022068318,0.001245081425
8655549,0.1499755055,0.03341979384,0.1295600355,0.0001225024462,0.001023154706,0.001039087772
8655716,0.1499761403,0.02853393666,0.1295812935,0.0001193284988,0.001032961532,0.00101929903
16520192,0.04440453053,0.1236057833,-0.03937402666,0.001068785787,0.001344561577,0.001368671656
8655889,0.1425683469,0.0100209536,0.09740000069,0.001016974449,0.0001047812402,0.000999994576
8655904,0.1525923848,0.02602427155,0.1113999784,0.001014992595,0.0001213662326,0.0009955093265
16520261,0.01157567948,0.07147048414,-0.1346516997,0.001078208908,0.001456640661,0.001537740231
4461684,-0.1695980281,0.02645522878,0.1675787508,0.0009129196405,0.00105330348,0.001132458448
16782508,0.1379699469,0.03040519916,-0.09060800374,0.0001759529114,0.001018697396,0.002690404654
4461740,-0.1724038199,0.02247223103,0.1724933336,0.001121029258,0.0009702537209,0.0009062737226
4461745,-0.171578458,0.02640802674,0.1713238865,0.0005092173815,0.00115461275,0.001522779465
4461781,-0.1484329879,0.01807470322,0.1681049556,0.001042664051,0.00102895312,0.001104384661
4461782,-0.1494618505,0.01908071339,0.1691184372,0.001024231315,0.001001924276,0.001099288464
17831142,-0.1425614864,0.07840183228,-0.01202431582,0.001010656357,0.001002050936,0.000121569261
17831153,-0.1475997567,0.08136246204,-0.01202529613,0.001000419259,0.0009399279952,0.0001264642924
16520484,0.0470313251,0.1255999595,-0.0554001078,0.000153966248,0.00155352056,0.001553669572
16520557,0.009514901787,0.1036354862,-0.03743979583,0.001017673872,0.0008358880877,0.0009149387479
8656272,0.1474349231,0.01001762543,0.09439999759,0.0009474605322,8.814688772e-05,0.001000002027
8656315,0.1435961485,0.01001695506,0.09839999825,0.001035019755,8.479319513e-05,0.001000002027
8656325,0.1464793533,0.01001851447,0.09740000069,0.0009693950415,9.259209037e-05,0.000999994576
8656327,0.145468992,0.01001653392,0.09839999825,0.001037672162,8.268933743e-05,0.001000002027
8656363,0.1505620539,0.02602430917,0.1094003215,0.001010447741,0.0001215152442,0.001000374556
17831415,-0.1694004625,0.08136190176,-0.01202529669,0.001001060009,0.0009405091405,0.0001264596358
8656411,0.1564691514,0.03606688231,0.1237623294,0.0009418278933,0.0009345971048,0.001144975424
16520778,0.006522188615,0.126706934,-0.04248934239,0.001037557609,0.001004204154,0.001104418188
16520779,0.00755657386,0.1256888628,-0.04147412479,0.001039770897,0.001035451889,0.00114280358
4462442,-0.1774533451,0.02627639025,0.1816029996,0.00102776289,0.0001180227846,0.0009965598583
4462443,-0.1764236808,0.02627662346,0.1806077003,0.001031771302,0.0001168511808,0.0009941905737
16521106,0.007543527056,0.1416184694,-0.05739894211,0.00106571475,0.001265823841,0.001174140722
